Year,Partner,Trade Value (US$),Qty
2015,Uzbekistan,5846941,4255458.0
2015,Kyrgyzstan,18520541,7164430.0
2015,Viet Nam,1535127,160428.0
2015,Tajikistan,13978598,7142790.0
2015,Turkmenistan,17412641,7450566.0
2015,Kazakhstan,71516694,22420379.0
2015,Georgia,12601691,5444467.0
2015,China,18885365,4509855.0
2015,Spain,15325696,70395507.0
2015,Poland,5962165,1136882.0
2015,Rep. of Moldova,6754913,1898885.0
2015,Azerbaijan,37318761,20061885.0
2015,Turkey,32902601,176137427.0
2015,Ukraine,31525387,14610314.0
2015,Belarus,75957413,18935444.0
2015,Mongolia,16056538,5785543.0
2016,Armenia,11818776,5872093.0
2016,Kazakhstan,113262906,61781918.0
2016,Germany,16664027,45008616.0
2016,Spain,17135992,77637028.0
2016,Rep. of Moldova,7480910,2013909.0
2016,Poland,7901225,1543295.0
2016,Turkmenistan,12554093,6239784.0
2016,Uzbekistan,4632201,1933122.0
2016,Belarus,93542341,35321287.0
2016,Ukraine,48294809,25268361.0
2016,Mongolia,21155954,7321957.0
2016,China,27661318,7204189.0
2016,Azerbaijan,43710715,27779864.0
2016,Latvia,4270699,11105600.0
2016,Tajikistan,44425583,35073495.0
2016,Kyrgyzstan,24072256,12910643.0
2016,Turkey,48167681,255431176.0
2016,Viet Nam,9104864,35911048.0
2016,Netherlands,10478668,21711934.0
2016,Georgia,11419393,5278337.0
2017,Rep. of Moldova,7803649,1827053.0
2017,Netherlands,9299082,2119680.0
2017,Viet Nam,10631686,49847084.0
2017,Germany,14349692,42857511.0
2017,Azerbaijan,136942914,131159113.0
2017,Kazakhstan,226324841,151921641.0
2017,Poland,11538376,1823010.0
2017,Latvia,2625352,15858831.0
2017,Belarus,169414127,103915794.0
2017,Uzbekistan,105842132,114920661.0
2017,Turkey,50778614,338837864.0
2017,Armenia,35646897,27020194.0
2017,Kyrgyzstan,52469264,40147119.0
2017,China,27780773,7180088.0
2017,Turkmenistan,18044898,9929651.0
2017,Ukraine,79082323,58954522.0
2017,Spain,18454454,112136347.0
2017,Georgia,18787303,9269329.0
2017,Tajikistan,43050858,36171679.0
2017,Mongolia,22382293,7862431.0
2018,Germany,10869685,21265301.0
2018,Kazakhstan,231048762,180510232.0
2018,China,29667023,9263548.0
2018,Kyrgyzstan,40730022,30411106.0
2018,Latvia,2417169,20805710.0
2018,Netherlands,9087234,2095758.0
2018,Spain,23831904,148715252.0
2018,Viet Nam,11252400,26510594.0
2018,Azerbaijan,41991450,29241265.0
2018,Turkmenistan,7228922,3388177.0
2018,Belarus,148107891,79919429.0
2018,Armenia,20903417,9449892.0
2018,Mongolia,20622650,7459250.0
2018,Turkey,44423601,309383882.0
2018,Ukraine,71968354,105629865.0
2018,Uzbekistan,113475057,116641710.0
2018,Tajikistan,17529808,11094233.0
2018,Georgia,17227654,4432799.0
2018,Poland,40614229,5072812.0
2018,Rep. of Moldova,9024661,2920943.0
2019,Belarus,180045965,112274582.0
2019,Viet Nam,7879907,24336390.0
2019,Kyrgyzstan,32326137,22616435.0
2019,Netherlands,8406525,2782250.0
2019,Kazakhstan,279701871,242040939.0
2019,Poland,9624852,1257635.0
2019,Georgia,29325195,23580763.0
2019,Turkmenistan,16870390,16192707.0
2019,Spain,19116750,85984378.0
2019,Turkey,71735988,337607466.0
2019,Ukraine,94609836,112774467.0
2019,Germany,21580972,14934436.0
2019,Tajikistan,64705467,77132885.0
2019,Latvia,1960347,21510095.0
2019,Mongolia,21627802,8132283.0
2019,Azerbaijan,86879880,84615547.0
2019,Rep. of Moldova,23564798,3981917.0
2019,China,24624641,8660372.0
2019,Armenia,25527008,18719098.0
2019,Uzbekistan,120704295,153809091.0
2020,Latvia,3507632,16864044.0
2020,Turkmenistan,49668616,57166517.0
2020,Uzbekistan,315247168,401606513.0
2020,Turkey,96933147,357614433.0
2020,Netherlands,8726374,19557195.0
2020,Georgia,38236164,36381095.0
2020,Kyrgyzstan,37556562,33222879.0
2020,Poland,6639816,971045.0
2020,Armenia,37359762,40635665.0
2020,Belarus,145476469,85081423.0
2020,Viet Nam,7703452,25297634.0
2020,Mongolia,34224791,25543208.0
2020,Germany,29360050,25335557.0
2020,Tajikistan,77007162,92982575.0
2020,Spain,26683360,114017310.0
2020,Azerbaijan,131398768,152656748.0
2020,Rep. of Moldova,11512682,4677966.0
2020,Ukraine,96101911,121059497.0
2020,China,39592884,14928483.0
2020,Kazakhstan,353359029,367806555.0
